,distance,times,f_bl,lat,lon,mag,summ
1096,0.0441846625825887,0.0000000419,0.00000000185,52.277,160.18,5.28,-8.73277342057514
1275,0.0896907554389029,0.0000000209,0.00000000188,52.753,160.743,5.2,-8.72646661667055
65,0.207791303817436,0.00000000926,0.00000000192,53.0144,160.0188,5.365,-8.71569082926318
1114,0.00693079834452772,0.000000291,0.00000000201,52.247,160.338,5.025,-8.69595599708373
1102,0.000350611174585021,0.0000059,0.00000000207,52.319,160.315,5.62,-8.68428013987601
1319,0.0120795456211556,0.000000172,0.00000000207,52.498,159.843,6.3,-8.68329842742329
2414,0.0155247170601574,0.000000135,0.00000000209,53.957,161.416,5.025,-8.67991001887774
2498,0.00108756538273766,0.00000195,0.00000000213,53.965,161.486,4.94,-8.67245956398796
2411,0.0143662942365298,0.000000149,0.00000000214,54.031,161.862,4.77,-8.67010211347789
1065,0.0485975581567107,0.0000000441,0.00000000214,52.192,160.301,4.855,-8.66858920014441
2656,0.346785743364719,0.00000000636,0.0000000022,51.583,159.272,5.365,-8.65671805860892
2401,0.00171529048998097,0.00000132,0.00000000226,53.938,161.438,4.77,-8.64597048210346
1318,0.0187385590625852,0.000000121,0.00000000226,52.495,159.888,5.4,-8.64521671457212
953,0.101909488563323,0.000000023,0.00000000234,54.7112,161.4104,4.77,-8.63027676851099
566,0.0394330508266507,0.0000000603,0.00000000238,55.3439,164.5099,6.1,-8.62414069516878
2170,0.0202957763175781,0.000000119,0.00000000241,52.196,159.674,5.025,-8.61853542746085
2513,0.687289909554113,0.0000000036,0.00000000247,54.139,161.506,5.365,-8.60665594839988
2427,0.028958429392812,0.0000000859,0.00000000249,53.977,161.848,5.11,-8.60408394252698
2407,0.578864516026384,0.00000000439,0.00000000254,54.094,161.76,5.025,-8.59513129664508
2434,0.551204698404329,0.00000000462,0.00000000255,53.792,161.596,5.705,-8.59413118804738
1036,0.0183379118827048,0.000000144,0.00000000265,52.345,160.239,4.855,-8.57682478112513
1101,0.140168659233293,0.000000019,0.00000000266,52.34,160.065,6.1,-8.57434717225713
532,0.310294747730229,0.0000000086,0.00000000267,53.5014,161.6387,4.855,-8.57383490841449
583,0.684556990002035,0.00000000394,0.0000000027,54.8872,164.4482,5.025,-8.56854922077492
215,0.00945112284241822,0.000000287,0.00000000271,51.1555,160.9504,5.195,-8.56658014827563
1133,0.159029108857107,0.0000000173,0.00000000275,50.059,157.268,5.535,-8.56133891532179
2484,0.194926184944094,0.0000000142,0.00000000277,54.994,162.056,4.94,-8.55826380070301
2440,0.102931403830951,0.000000028,0.00000000288,54.84,162.826,4.94,-8.54015099866607
2355,0.00223549143107387,0.00000129,0.00000000289,53.98,161.92,5.535,-8.53864110291697
2466,0.726881110868206,0.00000000414,0.00000000301,54.094,161.878,5.45,-8.52192344601002
2518,0.0983546232958595,0.0000000317,0.00000000312,55.299,162.523,4.94,-8.50586605168436
369,0.453484714446638,0.00000000713,0.00000000323,56.3217,164.3414,5.025,-8.4901616829631
1769,0.188132829266478,0.0000000175,0.0000000033,52.398,159.514,4.94,-8.48159525539822
2509,0.0361045737829421,0.0000000951,0.00000000343,54.435,162.337,5.28,-8.46407918895685
1483,0.155925825140639,0.0000000222,0.00000000347,51.79,159.276,4.94,-8.45993919143179
1033,0.0468919769270037,0.0000000742,0.00000000348,52.281,160.072,6.1,-8.45845303617784
2659,0.00466223425238186,0.000000782,0.00000000364,51.544,159.584,5.535,-8.43834657668292
1042,0.806493019271183,0.00000000456,0.00000000368,52.319,160.315,5.62,-8.43470481957636
2443,0.00688907182643798,0.000000538,0.00000000371,53.977,161.848,5.11,-8.43098795516114
1092,0.105763591442907,0.0000000353,0.00000000373,52.26,160.281,5.28,-8.42818279565167
2515,0.155182899299746,0.0000000241,0.00000000374,53.979,161.564,5.195,-8.42763272165146
1690,0.0182301420089859,0.000000211,0.00000000384,52.315,159.563,5.6,-8.41517176060066
115,0.131856839802635,0.0000000292,0.00000000385,56.2361,163.8025,5.11,-8.41447072417099
2514,0.113455973354758,0.000000034,0.00000000385,54.439,162.276,5.62,-8.41409913877734
1073,0.272332738801796,0.0000000142,0.00000000387,52.355,160.006,5.28,-8.4121381199908
2532,0.138993205177434,0.0000000289,0.00000000402,55.221,162.619,5.5,-8.39592430818868
2290,0.125100522819544,0.0000000327,0.0000000041,53.878,161.328,5.28,-8.38761174684216
2521,0.00827469603680869,0.000000496,0.00000000411,55.378,162.383,4.94,-8.38652163936649
2378,0.000659166365277811,0.00000647,0.00000000426,53.85,161.96,5.28,-8.37019705504524
